T02,"Population, density and surface area",,,,,
14,Eastern Africa,2020,Sex ratio (males per 100 females),98.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
14,Eastern Africa,2020,Population aged 0 to 14 years old (percentage),42.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
14,Eastern Africa,2020,Population aged 60+ years old (percentage),4.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
14,Eastern Africa,2020,Population density,67.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
14,Eastern Africa,2020,Surface area (thousand km2),"6,667",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
14,Eastern Africa,2022,Population mid-year estimates (millions),473.00,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
14,Eastern Africa,2022,Population mid-year estimates for males (millions),234.54,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
14,Eastern Africa,2022,Population mid-year estimates for females (millions),238.47,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
14,Eastern Africa,2022,Sex ratio (males per 100 females),98.4,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
14,Eastern Africa,2022,Population aged 0 to 14 years old (percentage),41.4,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
14,Eastern Africa,2022,Population aged 60+ years old (percentage),4.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
14,Eastern Africa,2022,Population density,71.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
17,Middle Africa,2010,Population mid-year estimates (millions),133.61,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
17,Middle Africa,2010,Population mid-year estimates for males (millions),66.32,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
17,Middle Africa,2010,Population mid-year estimates for females (millions),67.29,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
17,Middle Africa,2010,Sex ratio (males per 100 females),98.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
17,Middle Africa,2010,Population aged 0 to 14 years old (percentage),45.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
17,Middle Africa,2010,Population aged 60+ years old (percentage),4.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
17,Middle Africa,2010,Population density,20.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
17,Middle Africa,2015,Population mid-year estimates (millions),157.40,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
17,Middle Africa,2015,Population mid-year estimates for males (millions),78.22,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
17,Middle Africa,2015,Population mid-year estimates for females (millions),79.18,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
17,Middle Africa,2015,Sex ratio (males per 100 females),98.8,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
17,Middle Africa,2015,Population aged 0 to 14 years old (percentage),45.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
